movie_name,movie_description,target,id
The Innocents,"During the bright Nordic summer, a group of children reveal mysterious powers. But what starts out innocent soon takes a dark and violent turn in this gripping supernatural thriller.",Horror,c8c726d4
Everything Everywhere All at Once,"Directed by Daniel Kwan and Daniel Scheinert, collectively known as Daniels, the film is a hilarious and big-hearted sci-fi action adventure about an exhausted Chinese American woman (Michelle Yeoh) who can't seem to finish her taxes.",Comedy,18d1c1f1
Thor: Love and Thunder,"Thor: Love and Thunder finds Thor (Chris Hemsworth) on a journey unlike anything he's ever faced -- a quest for inner peace. But his retirement is interrupted by a galactic killer known as Gorr the God Butcher (Christian Bale), who seeks the extinction of the gods. To combat the threat, Thor enlists the help of King Valkyrie (Tessa Thompson), Korg (Taika Waititi) and ex-girlfriend Jane Foster (Natalie Portman), who -- to Thor's surprise -- inexplicably wields his magical hammer, Mjolnir, as the Mighty Thor. Together, they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher's vengeance and stop him before it's too late.",Action,cee86c41
Hellbender,"A teen and her mother live simply in a home in the woods, spending their time making metal music. A chance encounter with a fellow teen causes her to uncover a connection between her family and witchcraft, which causes a rift with her mother.",Horror,a7b1db45
The Munsters,"Lily is a typical 150-year-old lovelorn vampire who's looking for the man of her nightmares -- until she lays her eyes on Herman, a 7-foot-tall green experiment with a heart of gold. It's love at first shock as these two ghouls fall fangs over feet for each other in a Transylvanian romance. Unfortunately, it's not all smooth sailing in the cemetery as Lily's father has other plans for his beloved daughter's future, and they don't involve her new bumbling beau.",Kids,86450690
Hocus Pocus,"After moving to Salem, Mass., teenager Max Dennison (Omri Katz) explores an abandoned house with his sister Dani (Thora Birch) and their new friend, Allison (Vinessa Shaw). After dismissing a story Allison tells as superstitious, Max accidentally frees a coven of evil witches (Bette Midler, Sarah Jessica Parker, Kathy Najimy) who used to live in the house. Now, with the help of a magical cat, the kids must steal the witches' book of spells to stop them from becoming immortal.",Kids,0ec702dd
Some Like It Rare,"Butchers Vincent and Sophie's business is going under and their relationship is on the rocks. But their lives are changed forever when Vincent accidentally kills a vegan activist vandalizing their store. To get rid of the corpse, he butchers the body and Sophie accidentally sells the meat. Never has their product been more successful with their customers to the extent that they just might be tempted to kill again...",Horror,6708bd6e
Inheritance,"A patriarch of a wealthy and powerful family suddenly passes away, leaving his wife and daughter with a shocking secret inheritance that threatens to unravel and destroy their lives.",Mystery,10092898
Do Revenge,"Drea (Camila Mendes) is at the peak of her high school powers as the Alpha it-girl on campus when her entire life goes up in flames after her sex tape gets leaked to the whole school, seemingly by her boyfriend and king of the school, Max (Austin Abrams). Eleanor (Maya Hawke) is an awkward new transfer student who is angered to find out that she now has to go to school with her old bully, Carissa (Ava Capri) who started a nasty rumor about her in summer camp when they were 13. After a clandestine run-in at tennis camp, Drea and Eleanor form an unlikely and secret friendship to get revenge on each other's tormentors.",Comedy,b33367c8
Prey,"Set in the Comanche Nation 300 years ago, ""Prey"" is the story of a young woman, Naru, a fierce and highly skilled warrior. She has been raised in the shadow of some of the most legendary hunters who roam the Great Plains, so when danger threatens her camp, she sets out to protect her people. The prey she stalks, and ultimately confronts, turns out to be a highly evolved alien predator with a technically advanced arsenal, resulting in a vicious and terrifying showdown between the two adversaries.",Action,2302f780
Memory,"Alex Lewis (Liam Neeson) is a hired assassin at a turning point. Living in El Paso, Texas, and coming to grips with a faltering memory just as he plans to retire, Alex is ready to conclude a long career of violence and secrecy when an old contact gives him a final assignment. However, the job isn't what Alex bargained for, and leads him into an FBI sting operation led by agent Vincent Serra (Guy Pearce). When Alex finds a trail of abuse leading from a child prostitution ring south of the border to a wealth influential El Paso real estate magnate (Monica Bellucci) and her son (Josh Taylor), Alex secretly guides Serra's FBI team in the right direction. Though his inability to remember details is putting him in ever greater danger, Alex uses the skills he's honed from a lifetime in the shadows to force ugliness into the light--but he has to do it before powerful forces destroy Alex and erase Serra's mission to get at the truth.",Action,06539531
I Used to Be Famous,"Vince used to be in the hottest boy band around. Now the troubled former popstar is alone and desperate. He dreams of making a comeback and starts performing in the streets of Peckham, in the hope that someone, anyone, will listen. An impromptu jam with Stevie, an autistic young drummer with an incredible gift for rhythm, sparks an unexpected friendship between the two misunderstood musicians. Together they form a unique bond through the power of music.",Drama,6569d7af
Beast,"Idris Elba (Fast & Furious Presents: Hobbs & Shaw, The Suicide Squad) stars in a pulse-pounding new thriller about a father and his two teenage daughters who find themselves hunted by a massive rogue lion intent on proving that the savannah has but one apex predator. Elba plays Dr. Nate Daniels, a recently widowed husband who returns to South Africa, where he first met his wife, on a long-planned trip with their daughters to a game reserve managed by Martin Battles (Sharlto Copley, Russian Doll series, Maleficent), an old family friend and wildlife biologist. But what begins as a journey of healing jolts into a fearsome fight for survival when a lion, a survivor of blood-thirsty poachers who now sees all humans as the enemy, begins stalking them.",Mystery,58b4740a
Jexi,"Phil has a major dependency issue -- he's addicted to his cellphone. He has no friends and his love life is nonexistent. Forced to upgrade to a new phone, Phil soon learns that the latest model comes with Jexi -- an artificial intelligence life coach, virtual assistant and cheerleader. With its help, he begins to get a real life. But as he becomes less dependent on the phone, Jexi starts to morph into a tech nightmare that's determined to keep Phil all to itself.",Comedy,ab9a30f3
Mrs. Harris Goes to Paris,"In partnership with the House of Dior, MRS. HARRIS GOES TO PARIS tells the story of a widowed cleaning lady in 1950s London who falls madly in love with a couture Dior dress, and decides that she must have one of her own. After she works, starves and gambles to raise the funds to pursue her dream, she embarks on an adventure to Paris which will change not only her own outlook, but the very future of the House of Dior.",Comedy,4dac8072
The Inhabitant,A teenage descendant of Lizzie Borden is caught between paranoid visions and a festering schizophrenia amid a series of small-town murders.,Horror,a0f9cfa6
The Outfit,"From the Academy Award-winning writer of The Imitation Game (Graham Moore) comes The Outfit, a gripping and masterful thriller in which an expert tailor (Academy Award winner Mark Rylance) must outwit a dangerous group of mobsters in order to survive a fateful night.",Mystery,08592c29
Ambulance,"Over one day across the streets of L.A., three lives will change forever. In this breakneck thriller from director-producer Michael Bay, decorated veteran Will Sharp (Emmy winner Yahya Abdul-Mateen II, Candyman, The Matrix Resurrections), desperate for money to cover his wife's medical bills, asks for help from the one person he knows he shouldn't--his adoptive brother Danny (Oscar® nominee Jake Gyllenhaal, Zodiac, Spider-Man: Far From Home). A charismatic career criminal, Danny instead offers him a score: the biggest bank heist in Los Angeles history: $32 million. With his wife's survival on the line, Will can't say no. But when their getaway goes spectacularly wrong, the desperate brothers hijack an ambulance with a wounded cop clinging to life and ace EMT Cam Thompson (Eiza González, Fast & Furious Presents: Hobbs & Shaw, Baby Driver) onboard. In a high-speed pursuit that never stops, Will and Danny must evade a massive, city-wide law enforcement response, keep their hostages alive, and somehow try not to kill each other, all while executing the most insane escape L.A. has ever seen.",Action,ee0d1b58
Jurassic World Dominion,"This summer, experience the epic conclusion to the Jurassic era as two generations unite for the first time. Chris Pratt and Bryce Dallas Howard are joined by Oscar®-winner Laura Dern, Jeff Goldblum and Sam Neill in Jurassic World Dominion, a bold, timely and breathtaking new adventure that spans the globe. From Jurassic World architect and director Colin Trevorrow, Dominion takes place four years after Isla Nublar has been destroyed. Dinosaurs now live--and hunt--alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history's most fearsome creatures.",Action,369f2ef4
Hereditary,"When the matriarch of the Graham family passes away, her daughter and grandchildren begin to unravel cryptic and increasingly terrifying secrets about their ancestry, trying to outrun the sinister fate they have inherited.",Horror,9c57dcbc
Spirit Halloween: The Movie,"When a Spirit Halloween Store opens in a deserted strip mall, three middle school friends who think they've outgrown trick or treating make a dare to spend the night locked inside the store Halloween night. But they soon find out that the store is haunted by an angry evil spirit who has possessed the creepy animatronic characters. The kids will need to embark on a thrilling and spooky adventure in order to survive the night and avoid becoming possessed themselves.",Kids,d78980a0
Athena,"Hours after the tragic death of their youngest brother in unexplained circumstances, three siblings have their lives thrown into chaos.",Action,246c81ce
Speak No Evil,"On a vacation in Tuscany, two families -- one Danish, one Dutch -- meet and become fast friends. Months later, the free-spirited Dutch family extends an invitation to the more conservative Danish one for a holiday weekend getaway at their countryside home. However, it doesn't take long before things gradually get out of hand as the joy of reunion is replaced with misunderstandings. The Dutch hospitality quickly turns unnerving for the Danes, and they find themselves increasingly caught in a web of their own politeness in the face of eccentric... or is it sinister... behavior.",Horror,c1efb079
Pinocchio,"Academy Award® winner Robert Zemeckis directs this live action and CGI retelling of the beloved tale of a wooden puppet who embarks on a thrilling adventure to become a real boy. Tom Hanks stars as Geppetto, the woodcarver who builds and treats Pinocchio (Benjamin Evan Ainsworth) as if he were his real son. Joseph Gordon-Levitt is Jiminy Cricket, who serves as Pinocchio’s guide as well as his ""conscience""; Academy Award® nominee Cynthia Erivo is the Blue Fairy; Keegan-Michael Key is ""Honest"" John; Academy Award® nominee Lorraine Bracco is Sofia the Seagull, a new character, and Luke Evans is The Coachman.",Kids,14f79677
The Batman,"Batman ventures into Gotham City's underworld when a sadistic killer leaves behind a trail of cryptic clues. As the evidence begins to lead closer to home and the scale of the perpetrator's plans become clear, he must forge new relationships, unmask the culprit and bring justice to the abuse of power and corruption that has long plagued the metropolis.",Action,ba29bafc
The Gray Man,"When the CIA's most skilled mercenary--whose true identity is known to none--accidentally uncovers dark agency secrets, a psychopathic former colleague puts a bounty on his head, setting off a global manhunt by international assassins.",Action,592d6e91
Saloum,"Shot down after fleeing a coup and extracting a drug lord from Guinea-Bissau, the legendary mercenaries known as the Bangui Hyenas -- Chaka, Rafa and Midnight -- must stash their stolen gold bounty, lay low long enough to repair and refuel their plane and escape back to Dakar, Senegal. When they take refuge at a holiday camp in the coastal region of Sine-Saloum, they do their best to blend in with their fellow guests; including a mute named Awa, with secrets of her own, and a policeman who may be on their tail, but it's Chaka who happens to be hiding the darkest secret of them all. Unbeknownst to the other Hyenas, he's brought them there for a reason and once his past catches up to him, his decisions have devastating consequences, threatening to unleash hell on them all.",Horror,d44dcd5a
Sissy,"Cecilia and Emma were tween-age BFFs who were going to grow old together and never let anything come between them, until Alex arrived on the scene. Twelve years later, Cecilia is a successful social media influencer living the dream of an independent, modern millennial woman... until she runs into Emma for the first time in over a decade. Emma invites Cecilia away on her bachelorette weekend at a remote cabin in the mountains, where Alex proceeds to make Cecilia's weekend a living hell. #triggered",Horror,a17f696a
Orphan: First Kill,"Esther's terrifying saga continues in this thrilling prequel to the original and shocking horror hit ""Orphan."" After orchestrating a brilliant escape from an Estonian psychiatric facility, Esther travels to America by impersonating the missing daughter of a wealthy family. Yet, an unexpected twist arises that pits her against a mother who will protect her family from the murderous ""child"" at any cost.",Horror,b2eae7b8
MK Ultra,"Based on the infamous CIA drug experiments from the early 1960s, this psychological thriller follows a brilliant psychiatrist (Anson Mount) who unknowingly becomes entangled with a dangerous government entity fixated on mind control.",Mystery,90411dfa
Dahmer,"In this fictionalized, fragmented biopic of one of America's most notorious serial killers, Jeffrey Dahmer (Jeremy Renner) contemplates his latest potential victim, a young man named Rodney (Artel Kayaru). As Dahmer considers the fate of his prey, we see flashbacks to the events that led to the evolution of a monster, from Dahmer's tortured relationship with his father (Bruce Davison), to his first kill, to his patrolling of the gay bars of Milwaukee.",Drama,e8268441
Vengeance,"Vengeance, the directorial debut from writer and star B.J. Novak (""The Office""), is a darkly comic thriller about Ben Manalowitz, a journalist and podcaster who travels from New York City to West Texas to investigate the death of a girl he was hooking up with.",Comedy,a9f70a14
DC League of Super-Pets,"In ""DC League of Super-Pets,"" Krypto the Super-Dog and Superman are inseparable best friends, sharing the same superpowers and fighting crime in Metropolis side by side. When Superman and the rest of the Justice League are kidnapped, Krypto must convince a rag-tag shelter pack--Ace the hound, PB the potbellied pig, Merton the turtle and Chip the squirrel--to master their own newfound powers and help him rescue the superheroes.",Kids,174d2b61
His House,"A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new life in an English town that has an evil lurking beneath the surface.",Horror,bcfc86ca
It Follows,"After carefree teenager Jay (Maika Monroe) sleeps with her new boyfriend, Hugh (Jake Weary), for the first time, she learns that she is the latest recipient of a fatal curse that is passed from victim to victim via sexual intercourse. Death, Jay learns, will creep inexorably toward her as either a friend or a stranger. Jay's friends don't believe her seemingly paranoid ravings, until they too begin to see the phantom assassins and band together to help her flee or defend herself.",Horror,6229d7eb
365 Days,"In order to save her relationship from falling apart, a woman goes to Sicily, where she meets a dangerous man named Massimo.",Drama,c04e1842
God's Creatures,"In a windswept fishing village, a mother is torn between protecting her beloved son and her own sense of right and wrong. A lie she tells for him rips apart their family and close-knit community in this tense, sweepingly emotional epic.",Drama,5244c5b1
Red River Road,"Suspicion grows in a family of four isolating against a virus that spreads through the internet and robs people of the ability to perceive reality, often violently.",Mystery,e8c51c2f
"Good Luck to You, Leo Grande","In GOOD LUCK TO YOU, LEO GRANDE, two-time Academy Award winner Emma Thompson (Love, Actually) embodies the candor and apprehension of retired teacher Nancy Stokes, and newcomer Daryl McCormack (Peaky Blinders) personifies the charisma and compassion of sex worker Leo Grande. As Nancy embarks on a post-marital sexual awakening and Leo draws on his skills and charm, together they find a surprising human connection.",Comedy,c398f962
Hasan Minhaj: The King's Jester,"Filmed at the historic Brooklyn Academy of Music, Hasan Minhaj returns to Netflix with his second stand-up comedy special Hasan Minhaj: The King's Jester. In this hilarious performance, Hasan shares his thoughts on fertility, fatherhood, and freedom of speech.",Comedy,497b6813
What Josiah Saw,"Everyone in town knows about the haunted Graham Farm on Willow Road. You'll hear there's a bad history to it. Josiah and his youngest son, Thomas, are all that remain of this estranged family. But after experiencing terrifying visions from beyond, Josiah decides they must change their ways to right a great wrong. After being away for over two decades, Eli and Mary, Josiah's eldest children, are enticed to sell the property and reunite at the old farmhouse in hopes of closing this haunting chapter of their lives for good. Sins of the past will be paid in full.",Horror,72b9d547
Stars at Noon,"A young American journalist stranded in present-day Nicaragua (Margaret Qualley) falls for an enigmatic Englishman (Joe Alwyn) who seems like her best chance of escape. She soon realizes, though, that he may be in even greater danger than she is.",Drama,0ef78ef2
Doctor Strange in the Multiverse of Madness,"In Marvel Studios' ""Doctor Strange in the Multiverse of Madness,"" the MCU unlocks the Multiverse and pushes its boundaries further than ever before. Journey into the unknown with Doctor Strange, who, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.",Action,71960cd0
Minions: The Rise of Gru,"In the heart of the 1970s, amid a flurry of feathered hair and flared jeans, Gru (Oscar® nominee Steve Carell) is growing up in the suburbs. A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them. Luckily, he gets some mayhem-making backup from his loyal followers, the Minions. Together, Kevin, Stuart, Bob, and Otto--a new Minion sporting braces and a desperate need to please--deploy their skills as they and Gru build their first lair, experiment with their first weapons and pull off their first missions. When the Vicious 6 oust their leader, legendary fighter Wild Knuckles (Oscar® winner Alan Arkin), Gru interviews to become their newest member. It doesn't go well (to say the least), and only gets worse after Gru outsmarts them and suddenly finds himself the mortal enemy of the apex of evil. On the run, Gru will turn to an unlikely source for guidance, Wild Knuckles himself, and discover that even bad guys need a little help from their friends.",Kids,b8d30aef
American Psycho,"In New York City in 1987, a handsome, young urban professional, Patrick Bateman (Christian Bale), lives a second life as a gruesome serial killer by night. The cast is filled by the detective (Willem Dafoe), the fiance (Reese Witherspoon), the mistress (Samantha Mathis), the coworker (Jared Leto), and the secretary (Chloë Sevigny). This is a biting, wry comedy examining the elements that make a man a monster.",Horror,46680a50
A Jazzman's Blues,"A sweeping tale of forbidden love, A JAZZMAN'S BLUES unspools forty years of secrets and lies soundtracked by juke joint blues in the deep South.",Drama,1035c9f0
Hatching,"In HATCHING, 12-year-old gymnast, Tinja (Siiri Solalinna), is desperate to please her image-obsessed mother, whose popular blog 'Lovely Everyday Life' presents their family's idyllic existence as manicured suburban perfection. One day, after finding a wounded bird in the woods, Tinja brings its strange egg home, nestles it in her bed, and nurtures it until it hatches. The creature that emerges becomes her closest friend and a living nightmare, plunging Tinja beneath the impeccable veneer into a twisted reality that her mother refuses to see.",Horror,8ba8f09c
Marcel the Shell with Shoes On,"Marcel is an adorable one-inch-tall shell who ekes out a colorful existence with his grandmother Connie and their pet lint, Alan. Once part of a sprawling community of shells, they now live alone as the sole survivors of a mysterious tragedy. But when a documentary filmmaker discovers them amongst the clutter of his Airbnb, the short film he posts online brings Marcel millions of passionate fans, as well as unprecedented dangers and a new hope at finding his long-lost family. A beloved character gets his big-screen debut in this hilarious and heartwarming story about finding connection in the smallest corners.",Kids,6e1acef8
Hustle,"Stanley Sugerman's (Adam Sandler) love for basketball is unparalleled, but the travel weary Philadelphia 76ers scout who has higher ambitions of being a coach remains stuck on the road looking for the next unknown talent. His search around the world leads him to Spain, when he discovers Bo Cruz (NBA player Juancho Hernangómez), an incredible streetball player with a troubled past. Stanley and Bo connect on and off the court, with their passion for the game and as loving family men who want to prove they can win, in basketball and in life. With the support of Stanley's wife, Teresa (Queen Latifah), can the underdogs come out on top?",Drama,57c0da08
I Came By,"A rebellious young graffiti artist targets the homes of London's wealthy elite. When he discovers a dark secret about a prestigious judge, it leads him on a shocking journey endangering himself and those closest to him.",Mystery,c2f1eb2d
The Night House,"Reeling from the unexpected death of her husband, Beth (Rebecca Hall) is left alone in the lakeside home he built for her. She tries as best she can to keep it together -- but then nightmares come. Disturbing visions of a presence in the house calling to her, beckoning her with a ghostly allure. Against the advice of her friends, she begins digging into her husband's belongings, yearning for answers. What she finds are secrets both strange and disturbing -- a mystery she's determined to unravel.",Horror,a429eaea
Samaritan,"Thirteen-year-old Sam Cleary (Javon ""Wanna"" Walton) suspects that his mysterious and reclusive neighbor Mr. Smith (Sylvester Stallone) is actually a legend hiding in plain sight. Twenty years ago, Granite City's super-powered vigilante, Samaritan, was reported dead after a fiery warehouse battle with his rival, Nemesis. Most believe Samaritan perished in the fire, but some in the city, like Sam, have hope that he is still alive. With crime on the rise and the city on the brink of chaos, Sam makes it his mission to coax his neighbor out of hiding to save the city from ruin.",Action,19ce26b3
Goodnight Mommy,"When twin brothers (Cameron and Nicholas Crovetti) arrive at their mother's (Naomi Watts) country home to discover her face covered in bandages--the result, she explains, of recent cosmetic surgery--they immediately sense that something doesn't add up. She sets strange new house rules, smokes in her bathroom, and secretly rips up a drawing they gave her--things their loving mother would never do. As her behavior grows increasingly bizarre and erratic, a horrifying thought takes root in the boys' minds: The sinking suspicion that the woman beneath the gauze, who's making their food and sleeping in the next room, isn't their mother at all.",Mystery,57233076
Dark Glasses,"Rome. A serial killer has killed three prostitutes, strangling them with cello ropes. The last rope of the ""Cellist"" is destined for Diana, a luxury escort who frequents the hotels of Via Veneto. One night, the maniac chases her driving a van, an drams her sending her crashing into another car. Diana awakens in a hospital, shrouded in darkness. The diagnosis is final: she lost her sight in the crash. Rita, a young woman from the Blinds' Society, helps Diana with her first steps in the darkness and in her new life; in the meantime, the police investigates, although unsuccessfully. But it won't stop there. The Cellist must finish his work. Diana, helped by Chin, an orphaned Chinese boy, can only try to escape. The cat and mouse game has just begun...",Horror,5808e286
You Are Not My Mother,"It's the week before Halloween. Char's bedridden mother, Angela, has mysteriously gone missing. All that remains is her abandoned car parked in the middle of a field. When Angela returns home to their North Dublin estate the following evening without explanation, it becomes clear to Char and her grandmother, Rita, that something is amiss. She might look and sound the same, but Angela's behavior has become increasingly erratic and frightening, as if she has been replaced by a malevolent force. As Halloween approaches, a night steeped in ancient Irish myth and legend, Char must unearth the dark secrets of her family in order to uncover the truth behind her mother's disappearance and save her, even if it means potentially losing her forever.",Horror,cde21c1c
Meet Cute,"MEET CUTE follows the story of Sheila (Kaley Cuoco) and Gary (Pete Davidson). When they meet, it's love at first sight -- until we realize their magical date wasn't fate at all. Sheila's got a time machine, and they've been falling in love over and over again. But when the perfect night is never quite enough, Sheila travels to Gary's past to change him into the perfect man.",Comedy,b45f27e1
Midsommar,"A young American couple, their relationship foundering, travel to a fabled Swedish midsummer festival where a seemingly pastoral paradise transforms into a sinister, dread-soaked nightmare as the locals reveal their terrifying agenda.",Horror,bd149c20
My Best Friend's Exorcism,"The year is 1988. High school sophomores Abby and Gretchen have been best friends since fourth grade. But after an evening of skinny-dipping goes disastrously wrong, Gretchen begins to act... different. She's moody. She's irritable. And bizarre incidents keep happening whenever she's nearby. Abby's investigation leads her to some startling discoveries--and by the time their story reaches its terrifying conclusion, the fate of Abby and Gretchen will be determined by a single question: Is their friendship powerful enough to beat the devil?",Horror,ea906cbb
Leave No Trace,"A father and daughter live a perfect but mysterious existence in Forest Park, a beautiful nature reserve near Portland, Ore., rarely making contact with the world. But when a small mistake tips them off to authorities, they are sent on an increasingly erratic journey in search of a place to call their own.",Drama,40d2c229
Avengers: Endgame,"Adrift in space with no food or water, Tony Stark sends a message to Pepper Potts as his oxygen supply starts to dwindle. Meanwhile, the remaining Avengers -- Thor, Black Widow, Captain America and Bruce Banner -- must figure out a way to bring back their vanquished allies for an epic showdown with Thanos -- the evil demigod who decimated the planet and the universe.",Action,d30bb69c
Happening,"France, 1963. Anne is a bright young student with a promising future ahead of her. But when she falls pregnant, she sees the opportunity to finish her studies and escape the constraints of her social background disappearing. With her final exams fast approaching and her belly growing, Anne resolves to act, even if she has to confront shame and pain, even if she must risk prison to do so...",Drama,837ef408
Lightyear,"Legendary space ranger Buzz Lightyear embarks on an intergalactic adventure alongside ambitious recruits Izzy, Mo, Darby, and his robot companion, Sox. As this motley crew tackles their toughest mission yet, they must learn to work together as a team to escape the evil Zurg and his dutiful robot army that are never far behind.",Kids,ff383b22
Get Out,"Now that Chris and his girlfriend, Rose, have reached the meet-the-parents milestone of dating, she invites him for a weekend getaway with Missy and Dean. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries leads him to a truth that he never could have imagined.",Horror,5cc5ac0f
Tenet,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Action,96338aef
Eraser: Reborn,A U.S. Marshal protects a federal witness by faking her death to hide her in witness protection program--only to have a breach within his own department that puts them both on the run.,Action,727823ba
Doctor Sleep,"Struggling with alcoholism, Dan Torrance remains traumatized by the sinister events that occurred at the Overlook Hotel when he was a child. His hope for a peaceful existence soon becomes shattered when he meets Abra, a teen who shares his extrasensory gift of the ""shine."" Together, they form an unlikely alliance to battle the True Knot, a cult whose members try to feed off the shine of innocents to become immortal.",Horror,c496de56
The Trouble with Being Born,"Elli is an android and lives with a man she calls her father. Together they drift through the summer. During the day they swim in the pool and at night he takes her to bed. She shares his memories and anything else he programs her to recall. Memories that mean everything to him but nothing to her. Yet, one night she sets off into the woods following a fading echo. The story of a machine and the ghosts we all carry within us.",Drama,5b44ec4c
The Lodge,"During a family retreat to a remote winter cabin over the holidays, the father is forced to abruptly depart for work, leaving his two children in the care of his new girlfriend, Grace. Isolated and alone, a blizzard traps them inside the lodge as terrifying events summon specters from Grace's dark past.",Horror,ac4cac3e
Malignant,"Paralyzed by fear from shocking visions, a woman's torment worsens as she discovers her waking dreams are terrifying realities.",Horror,9ee0c047
Old Man,"When a lost traveler stumbles upon an old man living in a remote cabin in the woods, the two engage in a lengthy conversation; one that will bring to light the truths they've been running from, the sins they've tried to forget, and the terrifying bond that connects them.",Mystery,0f344038
Knives Out,"The circumstances surrounding the death of crime novelist Harlan Thrombey are mysterious, but there's one thing that renowned Detective Benoit Blanc knows for sure -- everyone in the wildly dysfunctional Thrombey family is a suspect. Now, Blanc must sift through a web of lies and red herrings to uncover the truth.",Mystery,69e2190f
Men,"In the aftermath of a personal tragedy, Harper (Jessie Buckley) retreats alone to the beautiful English countryside, hoping to have found a place to heal. But someone or something from the surrounding woods appears to be stalking her. What begins as simmering dread becomes a fully-formed nightmare, inhabited by her darkest memories and fears in visionary filmmaker Alex Garland's (Ex Machina, Annihilation) feverish, shape-shifting new horror film.",Horror,a4954b0f
Resurrection,"Margaret’s life is in order. She is capable, disciplined, and successful. Soon, her teenage daughter, who Margaret raised by herself, will be going off to a fine university, just as Margaret had intended. Everything is under control. That is, until David returns, carrying with him the horrors of Margaret’s past.",Mystery,bcfa7f3e
Project Legion,"Feral creatures that prey on humans have descended upon the city. A furious fight for survival begins as the outside world descends into chaos and a former Marine (UFC superstar Donald ""Cowboy"" Cerrone), barricaded inside his apartment, prepares to come out fighting.",Horror,16d84142
Let the Right One In,"When Oskar (Kåre Hedebrant), a sensitive, bullied 12-year-old boy living with his mother in suburban Sweden, meets his new neighbor, the mysterious and moody Eli (Lina Leandersson), they strike up a friendship. Initially reserved with each other, Oskar and Eli slowly form a close bond, but it soon becomes apparent that she is no ordinary young girl. Eventually, Eli shares her dark, macabre secret with Oskar, revealing her connection to a string of bloody local murders.",Horror,cdf3f2cc
No Time to Die,"In No Time To Die, Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",Action,32cf5e83
